,区,单价,小区,层,总价,房型,房龄,板块,网址,面积
0,长宁,66123,虹延小区,中区/5层,268,1室1厅,1995,西郊,/ershoufang/sh4549676.html,40.53
1,杨浦,64350,双花公寓,中区/19层,500,2室0厅,1991,黄兴公园,/ershoufang/sh4543965.html,77.7
2,虹口,66489,大二小区,低区/6层,250,1室0厅,1985,曲阳,/ershoufang/sh4534309.html,37.6
3,长宁,68869,金谷苑,低区/19层,296,1室0厅,1994,中山公园,/ershoufang/sh4528857.html,42.98
4,闸北,70824,东方莱茵,低区/26层,1750,4室2厅,2003,不夜城,/ershoufang/sh4438754.html,247.09
5,闸北,80352,新梅共和城,低区/14层,930,3室2厅,2004,大宁,/ershoufang/sh4429161.html,115.74
6,黄浦,77799,永明大厦,中区/24层,860,2室2厅,2001,蓬莱公园,/ershoufang/sh4344583.html,110.54
7,黄浦,10209,永业大楼,低区/7层,620,1室0厅,1935,淮海中路,/ershoufang/sh4266529.html,60.73
8,闵行,52196,梅陇二村,低区/6层,265,1室1厅,1992,梅陇,/ershoufang/sh4527632.html,50.77
9,嘉定,40202,盘古天地,高区/29层,358,2室2厅,2010,嘉定新城,/ershoufang/sh4691111.html,89.05
10,普陀,71933,中远两湾城,低区/33层,1150,3室2厅,2004,中远两湾城,/ershoufang/sh4682487.html,159.87
11,徐汇,65717,锦馨苑,低区/13层,900,3室2厅,2004,田林,/ershoufang/sh4669382.html,136.95
12,长宁,76480,申亚新华府,低区/30层,1450,4室2厅,2002,新华路,/ershoufang/sh4568044.html,189.59
13,闵行,63720,蓝色港湾（公寓）,高区/6层,548,2室2厅,2004,古美,/ershoufang/sh4561394.html,86.0
14,浦东,57337,南杨花园,高区/6层,370,2室1厅,1996,北蔡,/ershoufang/sh4553009.html,64.53
15,浦东,43391,曙光苑,中区/7层,498,2室2厅,2001,川沙,/ershoufang/sh4542990.html,114.77
16,杨浦,58007,文化名园,高区/6层,615,3室2厅,2003,五角场,/ershoufang/sh4527757.html,106.02
17,闵行,71700,虹田苑,中区/11层,810,3室2厅,2005,金虹桥,/ershoufang/sh4513743.html,112.97
18,杨浦,57998,控江五村,高区/5层,182,1室0厅,1957,黄兴公园,/ershoufang/sh4478927.html,31.38
19,静安,14271,云海苑,中区/28层,2800,4室2厅,2003,南京西路,/ershoufang/sh4466633.html,196.2
20,宝山,42330,共富二村,中区/6层,465,3室2厅,2006,共富,/ershoufang/sh4436863.html,109.85
21,浦东,66272,浦发博园（公寓）,中区/14层,605,2室2厅,2009,三林,/ershoufang/sh4367821.html,91.29
22,松江,36031,新凯家园,低区/14层,280,2室1厅,2006,泗泾,/ershoufang/sh4545251.html,77.71
23,闸北,69979,明园森林都市,低区/33层,1035,3室2厅,2013,大宁,/ershoufang/sh4367778.html,147.9
24,长宁,69225,中华小区,中区/7层,330,2室0厅,1996,新华路,/ershoufang/sh4233273.html,47.67
25,浦东,63356,上南十一村,中区/6层,268,2室1厅,1992,世博,/ershoufang/sh4780796.html,42.3
26,宝山,51809,共康五村,中区/6层,345,2室1厅,1993,共康,/ershoufang/sh4770919.html,66.59
27,闵行,74391,锦绣江南（四期）,低区/12层,1180,4室2厅,2005,金汇,/ershoufang/sh4761491.html,158.62
28,徐汇,77565,田林十一村,高区/6层,390,2室1厅,1986,田林,/ershoufang/sh4721865.html,50.28
29,杨浦,83839,上海大花园,高区/18层,800,2室2厅,2003,周家嘴路,/ershoufang/sh4698594.html,95.42
30,闵行,43042,银都新村（8至10区）,高区/6层,335,3室2厅,1995,颛桥,/ershoufang/sh4696193.html,77.83
31,杨浦,59552,民星住宅小区,低区/18层,370,2室1厅,1991,中原,/ershoufang/sh4653407.html,62.13
32,松江,32760,松乐南苑,高区/6层,263,2室1厅,unknow,松江老城,/ershoufang/sh4622275.html,80.28
33,黄浦,78947,太阳都市花园,高区/24层,1500,4室3厅,1999,豫园,/ershoufang/sh4612148.html,190.0
34,徐汇,11504,长乐路683号,中区/6层,400,1室0厅,1977,衡山路,/ershoufang/sh4597228.html,34.77
35,浦东,74841,金浦小区（塘桥）,高区/6层,390,2室1厅,1995,塘桥,/ershoufang/sh4581327.html,52.11
36,浦东,59889,思浦小区,中区/6层,228,1室0厅,1989,三林,/ershoufang/sh4575469.html,38.07
37,杨浦,64000,营口大厦,中区/24层,560,2室1厅,1999,黄兴公园,/ershoufang/sh4526341.html,87.5
38,徐汇,69829,康乐小区（徐汇）,中区/6层,290,1室1厅,1992,康健,/ershoufang/sh4491961.html,41.53
39,宝山,45469,民主敦发小区,高区/6层,280,2室1厅,1997,张庙,/ershoufang/sh4322224.html,61.58
40,松江,40888,保利西子湾,中区/14层,370,2室2厅,2008,松江大学城,/ershoufang/sh4798232.html,90.49
41,普陀,45965,阳光威尼斯（三期）,低区/26层,515,3室2厅,2006,真光,/ershoufang/sh4616763.html,112.04
42,松江,31975,茉莉雅苑,低区/13层,230,2室1厅,2012,泗泾,/ershoufang/sh4407009.html,71.93
43,浦东,37111,上川路1468弄,低区/6层,350,3室2厅,1468,曹路,/ershoufang/sh4376222.html,94.31
44,浦东,61117,绿洲康城亲水湾（东区）,高区/12层,760,3室2厅,2010,御桥,/ershoufang/sh4430029.html,124.35
